epoch,train_loss,train_l1,train_mse,train_grad,val_psnr,val_psnr_rain,val_psnr_snow,lr,steps
1,0.2710874709594981,0.2567876246325035,0.1074871259696477,0.2859969301959396,13.283550426363945,10.31143144927273,16.781350310967895,1.4285714285714287e-05,1076
2,0.1024541886398728,0.09496106580592222,0.01690308039152794,0.14986245548802682,21.214663007855414,19.536377620145764,23.189787987949085,2.8571428571428574e-05,1076
3,0.07789696732598277,0.07191314275435355,0.010035684403875101,0.11967649206962284,22.333608427643775,21.065558786337085,23.825938957889065,4.285714285714286e-05,1076
4,0.07291121935977368,0.06738345322396509,0.008963074330430908,0.11055532431569241,22.35583441257477,21.02719300330719,23.919473622120968,5.714285714285715e-05,1076
5,0.0681147126854851,0.06297722376093656,0.007972573233529455,0.10274977684297969,23.073355725407602,22.14627467138919,24.16441029918437,7.142857142857143e-05,1076
6,0.06421718469796682,0.05935616824658221,0.007232823974987817,0.09722032875418109,23.78377469480038,23.074021758371696,24.61906216420284,8.571428571428573e-05,1076
7,0.060053410102028165,0.05538926060834283,0.006394351178219327,0.0932829908950455,24.146630293130876,23.38746816161051,25.040065998933752,0.00010000000000000002,1076
8,0.05785663582066067,0.05333196195742621,0.006046963964033263,0.09049347647877763,24.699235612154006,23.679954253180178,25.898798027817083,0.00011428571428571431,1076
9,0.055680330309559864,0.051288786654094004,0.005684942883425513,0.08783087501697048,24.75737182497978,23.721692366407098,25.976232684388453,0.0001285714285714286,1076
10,0.053327665679835365,0.04907540621782989,0.005276719279384732,0.08504518877964148,23.846228823065758,21.752961853336046,26.30973348812181,0.0001428571428571429,1076
11,0.05210613748612623,0.04794794770622397,0.005070232448244266,0.08316379646704875,25.18093959093094,24.0449930753322,26.51780181677163,0.0001571428571428572,1076
12,0.05172278777935082,0.04761567083447064,0.005063036908300378,0.08214233845098422,24.83559617996216,23.67172668986238,26.205320137698635,0.00017142857142857148,1076
13,0.04944921952073348,0.045449874218428665,0.004668560615315735,0.07998690494512758,25.785441714525223,24.670302109911262,27.09781689546546,0.00018571428571428577,1076
14,0.04838222015102058,0.04446908123929704,0.004476318116923864,0.07826277829332755,25.76009287238121,24.628735183980424,27.091554641723633,0.00020000000000000006,1076
