epoch,train/loss,train/lr,train/loss_rpn_cls,train/loss_rpn_bbox,train/s0.loss_cls,train/s0.loss_bbox,train/s0.loss_mask,train/s1.loss_cls,train/s1.loss_bbox,train/s1.loss_mask,train/s2.loss_cls,train/s2.loss_bbox,train/s2.loss_mask,val/coco/segm_mAP_50,val/coco/segm_mAP,val/coco/segm_mAP_75,val/coco/bbox_mAP_50,val/coco/bbox_mAP,val/coco/bbox_mAP_75,val/coco/class1_precision,val/coco/class2_precision,val/coco/class3_precision,val/coco/class4_precision,train/data_time,train/grad_norm,train/memory,train/s0.acc,train/s1.acc,train/s2.acc,train/time,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/coco/segm_mAP_l,val/coco/segm_mAP_m,val/coco/segm_mAP_s,val/data_time,val/time
11,1.2584444403648376,7.891960217374728e-05,0.05558638729198719,0.03988056421512738,0.152214627712965,0.12446512803435325,0.3064498580992222,0.07691962840035557,0.13667395245283842,0.15961875580251217,0.044694345258176324,0.08595390395494178,0.07598731555044651,0.622,0.294,0.374,0.625,0.307,0.409,0.37,0.297,0.407,0.365,0.2973260164260864,6.8839571356773375,11810.0,97.0703125,95.33468627929688,93.89002227783203,0.8753983736038208,0.2,0.334,0.311,0.3,0.375,0.276,0.6929676979780197,1.0822832360863686
12,1.3822992324829102,7.527834703603956e-05,0.061550190307752925,0.035571324988268316,0.20239389790222048,0.13596269600093364,0.31802369430661204,0.10802794536575674,0.137816499825567,0.1610416267067194,0.058795935078524056,0.08683618456707336,0.07627924289554358,0.577,0.275,0.354,0.577,0.284,0.384,0.394,0.297,0.4,0.277,0.5403977990150451,9.029546928405761,9683.0,95.8984375,91.7835693359375,91.68316650390625,1.179649531841278,0.15,0.304,0.307,0.2,0.337,0.276,0.6976220682263374,1.0864345729351044
13,1.3794130027294158,7.144855091289505e-05,0.06112462692290137,0.043205062102060765,0.21754924915730953,0.12163841240108013,0.29735109508037566,0.11483182914089411,0.1384935040026903,0.1568253293633461,0.061076149437576534,0.09231347690802068,0.07500424180179835,0.632,0.332,0.453,0.629,0.332,0.451,0.4,0.337,0.435,0.425,0.26929914951324463,8.803016674518584,11240.0,97.265625,94.70468139648438,94.32048797607422,0.8201629638671875,0.3,0.403,0.351,0.4,0.455,0.309,0.7131234183907509,1.1042059659957886
14,1.3340035170316695,6.745936086530524e-05,0.04478253704146482,0.04086039632966276,0.17049915613606573,0.1456624513491988,0.3079252950847149,0.08591825719922781,0.1535643920302391,0.15809998102486134,0.049315821833442894,0.10211580907925963,0.07525941096246243,0.635,0.326,0.443,0.633,0.319,0.438,0.397,0.392,0.384,0.419,0.28605941534042356,8.829576563835143,9683.0,96.875,95.4091796875,92.98596954345703,0.8499308705329895,0.4,0.335,0.47,0.5,0.375,0.348,0.6898728385567665,1.0801547318696976
15,1.3112667590379714,6.334113703827098e-05,0.048576860934554135,0.031502729561179874,0.18990357127040625,0.1295751988887787,0.3063757926225662,0.09624110185541213,0.13109468519687653,0.15666994489729405,0.052079525450244545,0.09385025205556304,0.07539709992706775,0.666,0.346,0.48,0.667,0.344,0.492,0.387,0.361,0.428,0.485,0.2538159966468811,7.519122219085693,7824.0,95.8984375,91.7835693359375,92.87128448486328,0.7908115148544311,0.3,0.408,0.453,0.5,0.449,0.334,0.6922619417309761,1.0844150185585022
16,1.2098597645759583,5.912522160176776e-05,0.03978701935830031,0.028803054726449773,0.12018458247184753,0.13155978992581369,0.3092186726629734,0.05714506381191313,0.14996903613209725,0.1574576698243618,0.03338833288871683,0.1079201839864254,0.07442635484039783,0.639,0.306,0.369,0.637,0.309,0.37,0.318,0.274,0.439,0.407,0.1430488109588623,8.657978963851928,11810.0,98.4375,99.8046875,100.0,0.6304320335388184,0.15,0.335,0.294,0.2,0.362,0.266,0.6967406496405602,1.0904116183519363
17,1.3702035516500473,5.48437002179063e-05,0.05210023401596118,0.0389930940233171,0.22662135642021894,0.11981973499059677,0.3281057752668858,0.11599633619189262,0.11710822153836489,0.15844313241541386,0.06168778175488114,0.07554705888032913,0.07578084655106068,0.647,0.327,0.402,0.646,0.329,0.412,0.36,0.303,0.45,0.434,0.6411002039909363,7.363426959514618,8586.0,85.7421875,82.17212677001953,81.31634521484375,1.2546359419822692,0.1,0.372,0.37,0.15,0.411,0.297,0.7263683676719666,1.1230863332748413
18,1.2547813341021539,5.05291578496713e-05,0.07357478192498093,0.041485860443208365,0.15263660196214915,0.1178649377077818,0.33118400275707244,0.08706101020798088,0.10341049041599035,0.1603084836155176,0.04594994708895683,0.06520380561705678,0.07610142827033997,0.647,0.345,0.504,0.647,0.344,0.501,0.43,0.405,0.43,0.428,0.4177409291267395,6.995379495620727,8586.0,94.140625,92.7125473022461,92.37113189697266,1.0202434301376342,0.3,0.437,0.376,0.4,0.494,0.338,0.7027533575892448,1.094862438738346
19,1.2704468846321106,4.6214430769676916e-05,0.039734904836586794,0.03471027209889144,0.17155121751129626,0.11794158406555652,0.303571043163538,0.07921510594896972,0.13963511614128948,0.15814640708267688,0.04141796170733869,0.10754209528677165,0.07698114234954119,0.64,0.35,0.502,0.639,0.346,0.504,0.406,0.39,0.424,0.468,0.4151711821556091,7.182551538944244,11810.0,90.4296875,86.26126098632812,85.1598129272461,1.0099032640457153,0.205,0.388,0.458,0.4,0.421,0.351,0.6841945573687553,1.0479067489504814
20,1.0900675669312476,4.1932356656305364e-05,0.04102345848368714,0.030349472066154702,0.11824796218425035,0.10457292823120952,0.29913332536816595,0.0561342786764726,0.10627167103812099,0.15066560134291648,0.032206731018959545,0.0776503587840125,0.07381179817020893,0.657,0.352,0.479,0.655,0.35,0.485,0.38,0.304,0.469,0.498,0.4485644340515137,6.841151857376099,9683.0,95.703125,93.17180633544922,90.625,1.055290424823761,0.4,0.428,0.468,0.512,0.474,0.363,0.7045653685927391,1.0939255729317665
21,1.2149848878383636,3.771552467914638e-05,0.07104344580802717,0.041630739707034084,0.14271501675248147,0.11200405322015286,0.3020725980401039,0.07090881187468767,0.12221196279861032,0.153569620475173,0.041030588746070865,0.08398047315131407,0.07381758969277144,0.68,0.366,0.506,0.677,0.359,0.496,0.408,0.359,0.473,0.502,0.7368474960327148,6.575214040279389,9288.0,95.703125,96.2890625,95.703125,1.3742444038391113,0.4,0.443,0.507,0.518,0.492,0.359,0.683855913579464,1.0758137628436089
22,1.107569506764412,3.3596027475739005e-05,0.03371786604511726,0.026984562494908458,0.1389598880894482,0.10703435372561217,0.28560931980609894,0.06643317015841603,0.11091387905180454,0.14634158760309218,0.03672365106176585,0.08432922956126276,0.07052197717130185,0.683,0.373,0.528,0.679,0.369,0.537,0.407,0.411,0.478,0.505,0.29987809658050535,6.852012205123901,11240.0,94.3359375,96.75173950195312,95.83333587646484,0.8404135704040527,0.3,0.429,0.427,0.4,0.483,0.345,0.7020267248153687,1.098263032734394
23,1.1057408183813096,2.9605216907221478e-05,0.041540402732789514,0.03302273036679253,0.1346006765961647,0.09699320215731859,0.302744684368372,0.06984795955941081,0.1000436196103692,0.14919540360569955,0.0386313725670334,0.0676817674189806,0.07143899723887444,0.661,0.348,0.457,0.659,0.348,0.462,0.423,0.343,0.442,0.471,0.43527114391326904,6.228775012493133,8586.0,93.9453125,96.02510070800781,96.35193634033203,1.0806645274162292,0.3,0.463,0.451,0.5,0.514,0.336,0.6821368783712387,1.0745465531945229
24,0.9131752014160156,2.5773465451737627e-05,0.02979555717547555,0.029356397336232475,0.08768684770911932,0.08504382334649563,0.25449664443731307,0.04084531547268853,0.0944517649244517,0.13481095768511295,0.023968725180020557,0.06662623248994351,0.06609292440116406,0.663,0.342,0.439,0.662,0.339,0.453,0.37,0.334,0.442,0.484,0.19117263555526734,7.219651997089386,9288.0,99.4140625,99.8046875,99.609375,0.72037193775177,0.225,0.407,0.463,0.4,0.464,0.316,0.7043363526463509,1.0956266298890114
25,1.1512848079204558,2.2129935051538454e-05,0.0393982683923241,0.032990092140971684,0.1359329246915877,0.11491722445935011,0.31330364756286144,0.06582159244571813,0.10845715347677469,0.15454066656529902,0.03912288576248102,0.07256660752464086,0.07423375230282545,0.677,0.359,0.466,0.676,0.358,0.483,0.374,0.367,0.461,0.507,0.31145482063293456,6.474005615711212,11810.0,94.3359375,94.19953918457031,97.5429916381836,0.9093825459480286,0.3,0.424,0.392,0.4,0.495,0.325,0.6954365521669388,1.0834825187921524
26,1.082322958111763,1.8702355172993248e-05,0.04451901911088498,0.02984964775387198,0.11624211259186268,0.09793526157736779,0.3027954138815403,0.056762100709602234,0.10344342049211264,0.15137969851493835,0.032539904746226964,0.07332725911401212,0.07352911792695523,0.676,0.379,0.536,0.676,0.378,0.544,0.411,0.399,0.478,0.515,0.2939595580101013,5.953909766674042,9683.0,97.8515625,97.2055892944336,96.41434478759766,0.8600367903709412,0.3,0.493,0.409,0.429,0.524,0.345,0.703871488571167,1.09392149746418
27,1.0797538131475448,1.551681176860701e-05,0.0421445970093373,0.033222436485812065,0.10845587952062488,0.09912971062585711,0.2958859972655773,0.055627543246373534,0.10928746536374093,0.153286050632596,0.03330761811230332,0.07573222671635449,0.07367427665740252,0.67,0.371,0.522,0.67,0.368,0.529,0.389,0.394,0.481,0.502,0.4451747417449951,7.189749348163605,9683.0,95.3125,96.5811996459961,95.64270782470703,1.0355977773666383,0.2,0.441,0.519,0.4,0.502,0.341,0.689402773976326,1.0801034644246101
28,1.1649743974208833,1.2597548747170902e-05,0.04751688120886684,0.03840087386779487,0.11515564825385809,0.11018007062375546,0.33199664428830145,0.056955221807584167,0.11549671813845634,0.16712405048310758,0.03354780677473172,0.07043902142904698,0.07816147264093161,0.677,0.377,0.527,0.674,0.373,0.53,0.4,0.392,0.475,0.528,0.30819451808929443,6.690071773529053,7077.0,94.53125,95.44554138183594,95.25691223144531,0.8701173424720764,0.3,0.459,0.492,0.4,0.512,0.346,0.6946204826235771,1.0902757346630096
29,0.9764569655060769,9.966783462977227e-06,0.04476740159293513,0.030744811255135573,0.09471800387836993,0.0836963803973049,0.28961875215172767,0.04228664231486619,0.0869345584884286,0.148537190631032,0.023703041509725152,0.06027615682687611,0.0711740566417575,0.672,0.374,0.517,0.672,0.368,0.52,0.405,0.386,0.468,0.523,0.6913621544837951,5.367201507091522,8881.0,92.7734375,94.37751007080078,92.78556823730469,1.3470213174819947,0.2,0.45,0.402,0.4,0.51,0.334,0.6991665810346603,1.0916556492447853
30,0.8151837199926376,7.64453762833826e-06,0.03201327071865308,0.019331330730346964,0.07121312478557229,0.06585882320068777,0.24984532482922078,0.034200623352080586,0.0696201631333679,0.13022079057991504,0.01985449016210623,0.05860637474688701,0.06441940516233444,0.675,0.367,0.487,0.674,0.368,0.51,0.398,0.355,0.466,0.519,0.37515405416488645,5.252261352539063,6714.0,98.4375,99.0234375,98.97119140625,0.9343600511550904,0.2,0.474,0.344,0.4,0.514,0.313,0.6993467807769775,1.0950300320982933
31,0.9641067892313003,5.648484936265891e-06,0.041960517082588925,0.030652155040297658,0.09904602011665702,0.08099823743104935,0.27408421561121943,0.04475651786196977,0.08922494696453213,0.14204117618501186,0.027255671081366017,0.06464828037060215,0.06943903472274542,0.673,0.382,0.547,0.673,0.377,0.545,0.422,0.406,0.481,0.517,0.5109261989593505,6.332626461982727,9227.0,99.21875,99.40827941894531,98.99396514892578,1.1318879842758178,0.2,0.465,0.359,0.4,0.519,0.337,0.6961056739091873,1.089538112282753
32,1.0371096551418304,3.993816552996393e-06,0.060455863400966335,0.03327128814707976,0.08537487071007491,0.09537958288565278,0.3065030172467232,0.04043375090695918,0.09605363630689681,0.1548060178756714,0.024901929823681713,0.06545841438419302,0.07447127904742956,0.675,0.377,0.522,0.674,0.37,0.528,0.413,0.39,0.472,0.523,0.5102375626564026,5.999622178077698,8586.0,95.8984375,95.51934814453125,94.68302917480469,1.064804208278656,0.227,0.474,0.339,0.5,0.525,0.325,0.6920702159404755,1.0797519162297249
33,0.9864954575896263,2.6931255040425396e-06,0.03277068748720922,0.032044506043894215,0.09648165525868535,0.08795462967827916,0.2919037688523531,0.04403253523632884,0.0964665012434125,0.14504464492201805,0.025992705841781573,0.0639229854248697,0.06988085806369781,0.672,0.371,0.519,0.672,0.369,0.534,0.407,0.382,0.468,0.516,0.4053826451301575,6.416399049758911,9683.0,94.7265625,93.30628967285156,92.6229476928711,1.028996968269348,0.3,0.452,0.341,0.4,0.499,0.322,0.7188178524374962,1.1095980927348137
34,1.0229777947068215,1.7563108336655632e-06,0.051926569705392465,0.034492473624413836,0.08575867423787713,0.09097323722671717,0.3191524393856525,0.04240330888424069,0.08654660396277905,0.1531918328255415,0.025704616267466916,0.05821866797050461,0.07460936941206456,0.675,0.374,0.521,0.672,0.37,0.528,0.412,0.387,0.466,0.521,0.4157004117965698,5.868396282196045,7787.0,97.0703125,99.77678680419922,99.7652587890625,1.0073055148124694,0.2,0.454,0.341,0.4,0.52,0.322,0.6904805824160576,1.0870563089847565
35,0.9831546172499657,1.1905022671712315e-06,0.027990520671664854,0.033596680837217716,0.09814801337197424,0.09085175907239318,0.2703921988606453,0.04641059335554019,0.10385723290964961,0.1402929902076721,0.025915710514527745,0.07892269003205002,0.06677623558789492,0.675,0.378,0.525,0.674,0.374,0.531,0.418,0.393,0.47,0.525,0.19519848823547364,6.058670103549957,11240.0,97.0703125,97.05882263183594,97.13656616210938,0.7181956529617309,0.2,0.467,0.344,0.4,0.528,0.326,0.6954313367605209,1.0876349806785583
36,0.9954861909151077,1.0000059493951202e-06,0.03141158017715497,0.029817786494095343,0.10412745289504528,0.09013521233573556,0.2723794706165791,0.05297204821836203,0.10068923179060221,0.14075356312096118,0.02850698812981136,0.07662539230659604,0.06806746907532216,0.675,0.381,0.535,0.673,0.378,0.54,0.422,0.395,0.474,0.526,0.2200443148612976,6.832566940784455,9227.0,97.4609375,98.0769271850586,97.327392578125,0.770293927192688,0.227,0.472,0.347,0.5,0.523,0.328,0.6961920186877251,1.0867814272642136
