coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_l,coco/bbox_mAP_m,coco/bbox_mAP_s,coco/class1_precision,coco/class2_precision,coco/class3_precision,coco/class4_precision,coco/segm_mAP,coco/segm_mAP_50,coco/segm_mAP_75,coco/segm_mAP_l,coco/segm_mAP_m,coco/segm_mAP_s,data_time,epoch,grad_norm,iter,loss,loss_rpn_bbox,loss_rpn_cls,lr,memory,s0.acc,s0.loss_bbox,s0.loss_cls,s0.loss_mask,s1.acc,s1.loss_bbox,s1.loss_cls,s1.loss_mask,s2.acc,s2.loss_bbox,s2.loss_cls,s2.loss_mask,step,time
0.322,0.61,0.453,0.3,0.38,0.443,0.379,0.344,0.392,0.405,0.317,0.612,0.421,0.25,0.409,0.403,0.6901258677244186,,,,,,,,,,,,,,,,,,,,,10,1.0779780149459839
,,,,,,,,,,,,,,,,0.2973260164260864,11,6.8839571356773375,1958,1.2584444403648376,0.03988056421512738,0.05558638729198719,7.891960217374728e-05,11810,97.0703125,0.12446512803435325,0.152214627712965,0.3064498580992222,95.33468627929688,0.13667395245283842,0.07691962840035557,0.15961875580251217,93.89002227783203,0.08595390395494178,0.044694345258176324,0.07598731555044651,1958,0.8753983736038208
0.307,0.625,0.409,0.2,0.334,0.311,0.37,0.297,0.407,0.365,0.294,0.622,0.374,0.3,0.375,0.276,0.6929676979780197,,,,,,,,,,,,,,,,,,,,,11,1.0822832360863686
,,,,,,,,,,,,,,,,0.5403977990150451,12,9.029546928405761,2136,1.3822992324829102,0.035571324988268316,0.061550190307752925,7.527834703603956e-05,9683,95.8984375,0.13596269600093364,0.20239389790222048,0.31802369430661204,91.7835693359375,0.137816499825567,0.10802794536575674,0.1610416267067194,91.68316650390625,0.08683618456707336,0.058795935078524056,0.07627924289554358,2136,1.179649531841278
0.284,0.577,0.384,0.15,0.304,0.307,0.394,0.297,0.4,0.277,0.275,0.577,0.354,0.2,0.337,0.276,0.6976220682263374,,,,,,,,,,,,,,,,,,,,,12,1.0864345729351044
,,,,,,,,,,,,,,,,0.26929914951324463,13,8.803016674518584,2314,1.3794130027294158,0.043205062102060765,0.06112462692290137,7.144855091289505e-05,11240,97.265625,0.12163841240108013,0.21754924915730953,0.29735109508037566,94.70468139648438,0.1384935040026903,0.11483182914089411,0.1568253293633461,94.32048797607422,0.09231347690802068,0.061076149437576534,0.07500424180179835,2314,0.8201629638671875
0.332,0.629,0.451,0.3,0.403,0.351,0.4,0.337,0.435,0.425,0.332,0.632,0.453,0.4,0.455,0.309,0.7131234183907509,,,,,,,,,,,,,,,,,,,,,13,1.1042059659957886
,,,,,,,,,,,,,,,,0.28605941534042356,14,8.829576563835143,2492,1.3340035170316695,0.04086039632966276,0.04478253704146482,6.745936086530524e-05,9683,96.875,0.1456624513491988,0.17049915613606573,0.3079252950847149,95.4091796875,0.1535643920302391,0.08591825719922781,0.15809998102486134,92.98596954345703,0.10211580907925963,0.049315821833442894,0.07525941096246243,2492,0.8499308705329895
0.319,0.633,0.438,0.4,0.335,0.47,0.397,0.392,0.384,0.419,0.326,0.635,0.443,0.5,0.375,0.348,0.6898728385567665,,,,,,,,,,,,,,,,,,,,,14,1.0801547318696976
,,,,,,,,,,,,,,,,0.2538159966468811,15,7.519122219085693,2670,1.3112667590379714,0.031502729561179874,0.048576860934554135,6.334113703827098e-05,7824,95.8984375,0.1295751988887787,0.18990357127040625,0.3063757926225662,91.7835693359375,0.13109468519687653,0.09624110185541213,0.15666994489729405,92.87128448486328,0.09385025205556304,0.052079525450244545,0.07539709992706775,2670,0.7908115148544311
0.344,0.667,0.492,0.3,0.408,0.453,0.387,0.361,0.428,0.485,0.346,0.666,0.48,0.5,0.449,0.334,0.6922619417309761,,,,,,,,,,,,,,,,,,,,,15,1.0844150185585022
,,,,,,,,,,,,,,,,0.1430488109588623,16,8.657978963851928,2848,1.2098597645759583,0.028803054726449773,0.03978701935830031,5.912522160176776e-05,11810,98.4375,0.13155978992581369,0.12018458247184753,0.3092186726629734,99.8046875,0.14996903613209725,0.05714506381191313,0.1574576698243618,100.0,0.1079201839864254,0.03338833288871683,0.07442635484039783,2848,0.6304320335388184
0.309,0.637,0.37,0.15,0.335,0.294,0.318,0.274,0.439,0.407,0.306,0.639,0.369,0.2,0.362,0.266,0.6967406496405602,,,,,,,,,,,,,,,,,,,,,16,1.0904116183519363
,,,,,,,,,,,,,,,,0.6411002039909363,17,7.363426959514618,3026,1.3702035516500473,0.0389930940233171,0.05210023401596118,5.48437002179063e-05,8586,85.7421875,0.11981973499059677,0.22662135642021894,0.3281057752668858,82.17212677001953,0.11710822153836489,0.11599633619189262,0.15844313241541386,81.31634521484375,0.07554705888032913,0.06168778175488114,0.07578084655106068,3026,1.2546359419822692
0.329,0.646,0.412,0.1,0.372,0.37,0.36,0.303,0.45,0.434,0.327,0.647,0.402,0.15,0.411,0.297,0.7263683676719666,,,,,,,,,,,,,,,,,,,,,17,1.1230863332748413
,,,,,,,,,,,,,,,,0.4177409291267395,18,6.995379495620727,3204,1.2547813341021539,0.041485860443208365,0.07357478192498093,5.05291578496713e-05,8586,94.140625,0.1178649377077818,0.15263660196214915,0.33118400275707244,92.7125473022461,0.10341049041599035,0.08706101020798088,0.1603084836155176,92.37113189697266,0.06520380561705678,0.04594994708895683,0.07610142827033997,3204,1.0202434301376342
0.344,0.647,0.501,0.3,0.437,0.376,0.43,0.405,0.43,0.428,0.345,0.647,0.504,0.4,0.494,0.338,0.7027533575892448,,,,,,,,,,,,,,,,,,,,,18,1.094862438738346
,,,,,,,,,,,,,,,,0.4151711821556091,19,7.182551538944244,3382,1.2704468846321106,0.03471027209889144,0.039734904836586794,4.6214430769676916e-05,11810,90.4296875,0.11794158406555652,0.17155121751129626,0.303571043163538,86.26126098632812,0.13963511614128948,0.07921510594896972,0.15814640708267688,85.1598129272461,0.10754209528677165,0.04141796170733869,0.07698114234954119,3382,1.0099032640457153
0.346,0.639,0.504,0.205,0.388,0.458,0.406,0.39,0.424,0.468,0.35,0.64,0.502,0.4,0.421,0.351,0.6841945573687553,,,,,,,,,,,,,,,,,,,,,19,1.0479067489504814
,,,,,,,,,,,,,,,,0.4485644340515137,20,6.841151857376099,3560,1.0900675669312476,0.030349472066154702,0.04102345848368714,4.1932356656305364e-05,9683,95.703125,0.10457292823120952,0.11824796218425035,0.29913332536816595,93.17180633544922,0.10627167103812099,0.0561342786764726,0.15066560134291648,90.625,0.0776503587840125,0.032206731018959545,0.07381179817020893,3560,1.055290424823761
0.35,0.655,0.485,0.4,0.428,0.468,0.38,0.304,0.469,0.498,0.352,0.657,0.479,0.512,0.474,0.363,0.7045653685927391,,,,,,,,,,,,,,,,,,,,,20,1.0939255729317665
,,,,,,,,,,,,,,,,0.7368474960327148,21,6.575214040279389,3738,1.2149848878383636,0.041630739707034084,0.07104344580802717,3.771552467914638e-05,9288,95.703125,0.11200405322015286,0.14271501675248147,0.3020725980401039,96.2890625,0.12221196279861032,0.07090881187468767,0.153569620475173,95.703125,0.08398047315131407,0.041030588746070865,0.07381758969277144,3738,1.3742444038391113
0.359,0.677,0.496,0.4,0.443,0.507,0.408,0.359,0.473,0.502,0.366,0.68,0.506,0.518,0.492,0.359,0.683855913579464,,,,,,,,,,,,,,,,,,,,,21,1.0758137628436089
,,,,,,,,,,,,,,,,0.29987809658050535,22,6.852012205123901,3916,1.107569506764412,0.026984562494908458,0.03371786604511726,3.3596027475739005e-05,11240,94.3359375,0.10703435372561217,0.1389598880894482,0.28560931980609894,96.75173950195312,0.11091387905180454,0.06643317015841603,0.14634158760309218,95.83333587646484,0.08432922956126276,0.03672365106176585,0.07052197717130185,3916,0.8404135704040527
0.369,0.679,0.537,0.3,0.429,0.427,0.407,0.411,0.478,0.505,0.373,0.683,0.528,0.4,0.483,0.345,0.7020267248153687,,,,,,,,,,,,,,,,,,,,,22,1.098263032734394
,,,,,,,,,,,,,,,,0.43527114391326904,23,6.228775012493133,4094,1.1057408183813096,0.03302273036679253,0.041540402732789514,2.9605216907221478e-05,8586,93.9453125,0.09699320215731859,0.1346006765961647,0.302744684368372,96.02510070800781,0.1000436196103692,0.06984795955941081,0.14919540360569955,96.35193634033203,0.0676817674189806,0.0386313725670334,0.07143899723887444,4094,1.0806645274162292
0.348,0.659,0.462,0.3,0.463,0.451,0.423,0.343,0.442,0.471,0.348,0.661,0.457,0.5,0.514,0.336,0.6821368783712387,,,,,,,,,,,,,,,,,,,,,23,1.0745465531945229
,,,,,,,,,,,,,,,,0.19117263555526734,24,7.219651997089386,4272,0.9131752014160156,0.029356397336232475,0.02979555717547555,2.5773465451737627e-05,9288,99.4140625,0.08504382334649563,0.08768684770911932,0.25449664443731307,99.8046875,0.0944517649244517,0.04084531547268853,0.13481095768511295,99.609375,0.06662623248994351,0.023968725180020557,0.06609292440116406,4272,0.72037193775177
0.339,0.662,0.453,0.225,0.407,0.463,0.37,0.334,0.442,0.484,0.342,0.663,0.439,0.4,0.464,0.316,0.7043363526463509,,,,,,,,,,,,,,,,,,,,,24,1.0956266298890114
,,,,,,,,,,,,,,,,0.31145482063293456,25,6.474005615711212,4450,1.1512848079204558,0.032990092140971684,0.0393982683923241,2.2129935051538454e-05,11810,94.3359375,0.11491722445935011,0.1359329246915877,0.31330364756286144,94.19953918457031,0.10845715347677469,0.06582159244571813,0.15454066656529902,97.5429916381836,0.07256660752464086,0.03912288576248102,0.07423375230282545,4450,0.9093825459480286
0.358,0.676,0.483,0.3,0.424,0.392,0.374,0.367,0.461,0.507,0.359,0.677,0.466,0.4,0.495,0.325,0.6954365521669388,,,,,,,,,,,,,,,,,,,,,25,1.0834825187921524
